identifier,comment_text
ID_001,This is the first comment. It's quite positive.
ID_002,I have some concerns about the new policy.
ID_003,Great work by the team on this release!
ID_004,The user interface could be more intuitive.
ID_005,Excellent customer service experience.
ID_006,There was a slight delay, but the issue was resolved.
ID_007,Not happy with the outcome.
ID_008,Looking forward to future updates.
ID_009,The documentation is very helpful and clear.
ID_010,I found a bug in the latest version.
ID_011,Can we get more examples for this function?
ID_012,The performance has improved significantly.
